,Unnamed: 0,Name,Link,Organization,Toll Free Number,Phone Number,Emails,Level of Study,Award Type,Purpose,Focus,Qualifications,Funds,Duration,Number of Awards,To Apply,Deadline,Contact,For more information,Criteria
10,10, Alexander A. Dadourian Scholarship,http://www.asainc.org/index.php, Armenian Students' Association of America 333 Atlantic Ave. Warwick RI 02888,, (401)461-6114, asa@asainc.org, Bachelor's Degree, Scholarship, To help students of Armenian descent pay for college., General studies/Field of study not specified., Applicants must be of Armenian descent; must be students enrolled full-time and have completed one full year of academics at a four-year accredited U.S. college or university or must be enrolled in a two-year college or university and transferring to a four-year college or university as a full-time student; must be U.S. citizens or possess the appropriate visa status in order to study in the U.S.,, Annual.,, Forms and details available online. Application and all supporting documentation must be mailed., March 15., URL: www.asainc.org/national/scholarships.shtml; Email: headasa@asainc.org; Address: ASA Scholarship Committee 333 Atlantic Ave. Warwick RI 02888., http://www.asainc.org/index.php,
11,11, American Association of Blacks in Energy Scholarships,http://www.aabe.org, American Association of Blacks in Energy 1625 K St. NW Ste. 405 Washington DC 20006,, (202)371-9530, info@aabe.org, Bachelor's Degree, Scholarship, To help increase the number of African Americans and other underrepresented minorities in energy-related fields., Business; Energy-related areas; Engineering; Mathematics and mathematical sciences; Physical sciences; Technology., Applicants must be underrepresented minorities (African American Hispanic or Native American); must be graduating high school seniors planning to enroll in an accredited college or university for the fall semester; must be pursuing degrees in business physical sciences technology engineering or mathematics; must have a minimum 3.0 GPA on a 4.0 scale.,, Annual.,, Application form and details are available online at scholarship.aabe.org., March 21., Email: scholarship@aabe.org., http://www.aabe.org, Applications are rated based on seven categories: scholastic average ACT/SAT scores advanced classes extracurricular activities writing abilities STEM majors ethnicity (the final two categories are worth bonus points).
12,12, American Dental Association Dental Laboratory Technology Scholarship,http://www.ada.org, American Dental Association 211 E Chicago Ave. Chicago IL 60611-2678, 800-947-4746, (312)440-2500,, Bachelor's Degree, Scholarship, To provide financial assistance for students to further their education in the field of dentistry., Dentistry., Applicants must be U.S. citizens (permanent resident status does not qualify); entering their final year as students at the time of application; must be currently attending a dental laboratory technology program accredited by the Commission on Dental Accreditation of the American Dental Association; must be enrolled as full-time students with minimum of 12 credit hours; must demonstrate financial need of $1000; have a minimum accumulative grade point average of 3.5 based on a 4.0 scale; and must have two reference forms from two dental laboratory technology program representatives which must be submitted as part of the application form., $1000, One year.,, Applicant must submit an application form that is typed or printed in black ink completed and signed by school officials; completed application form including the Academic Achievement Record Form and Financial Needs Assessment Form signed by school official; a copy of the school's letter of acceptance for those incoming first-year students; two completed reference forms sealed and signed on the back flap of the envelope by the referrers (required forms must be used which are a part of the scholarship application form); typed biographical sketch questionnaire (required form must be used which is a part of the scholarship application form); a self-addressed stamped postcard which can be mailed upon receipt of the application (if the applicant wishes to have verification that the application was received)., March 31.,, http://www.ada.org, Applicants will be evaluated based on demonstrated financial need; academic achievement; biographical sketch questionnaire; and two completed reference forms.
13,13, American Legion Eagle Scout of the Year,http://www.legion.org, The American Legion 700 N Pennsylvania St. Indianapolis IN 46206, 800-433-3318, (317)630-1200, acy@legion.org, Bachelor's Degree, Scholarship, To support students who demonstrates practical citizenship in church school Scouting and in community., General studies/Field of study not specified., Applicants must have received the Eagle Scout Award and the religious emblem awarded by a religious institution; have demonstrated practical citizenship in church school scouting and the community; son or grandson of an American Legion or American Legion Auxiliary member; or must be a member of a Scouting unit chartered to a Legion post an Auxiliary unit or a Sons of the American Legion squadron., $2500 $10000, Annual., 4., Applicants must complete and file the nomination form with their respective American Legion department (state) headquarters., March 1., URL: www.legion.org/scholarships/eaglescout., http://www.legion.org, Selection is based on the committee's review on the applications.
14,14, American Patriot Scholarship,http://www.moaa.org, Military Officers Association of America 201 N Washington St. Alexandria VA 22314, 800-234-6622, (703)549-2311, msc@moaa.org, Bachelor's Degree, Scholarship, To help children of Uniformed Services members who died or were severely disabled while in active service as members of the Regular Guard. or Reserve Forces., General studies/Field of study not specified., Applicants must be students who qualify for the interest-free loan program and whose military parent has died on active service or is receiving Traumatic Service members' Group Life Insurance (T-SGLI) payments; must be under 24 years old., $7000, Annual.,, Applicant must submit online an application form., March 1.,, http://www.moaa.org, Selection will be based on student’s scholastic ability (1/3) extracurricular activities (1/3) and financial need (1/3).
15,15, American Welding Society District Scholarships,http://www.aws.org/home, American Welding Society 8669 NW 36 St. No. 130 Miami FL 33166-6672, 800-443-9353, (305)443-9353, accreditation@aws.org certification@aws.org corporate@aws.org customercare@aws.org foundation@aws.org mediasales@aws.org membership@aws.org sense@aws.org standards@aws.org, Bachelor's Degree, Scholarship, To provide financial assistance to students preparing for a career in the welding and related joining technologies., Welding., Applicants must be high school graduates or possess a GED equivalent planning to enroll in a welding course program; must attend a school located in United States or its territories.,, Annual., Varies., Application must be submitted along with statement of unmet financial need form; transcript of records; personal statement; biography and photo; when scholarship is not used during fall semester can be used during the spring term of the same fiscal year; when entire scholarship not used during the fiscal year the remainder will be returned to the AWS Foundation Scholarship Fund., March 1., foundation@aws.org., http://www.aws.org/home, Recipients are selected based on academic standing.
16,16, American Welding Society National Scholarships,http://www.aws.org/home, American Welding Society 8669 NW 36 St. No. 130 Miami FL 33166-6672, 800-443-9353, (305)443-9353, accreditation@aws.org certification@aws.org corporate@aws.org customercare@aws.org foundation@aws.org mediasales@aws.org membership@aws.org sense@aws.org standards@aws.org, Bachelor's Degree, Scholarship, To support students preparing for a career in the welding and related joining technologies., Welding., Applicants must be students pursuing a specific degree at an accredited four-year college or university., $2500, Annual., Varies., Applicants must submit a financial statement; transcript of records; personal statement; biography; and photo these are some general requirements to keep in mind when applying for national scholarships: two letters of recommendations are required applicant must have an official transcript set my email or mail directly from the school or third-party transcript provider some national scholarships require demonstrated financial need which means the cost of attendance exceeds the expected family contribution (EFC) as found on the FAFSA student aid report (SAR) the SAR must be submitted in addition to cost of attendance documentation to be eligible for these scholarships some scholarships require or have a preference for applicants to be a member of AWS to apply for an AWS student membership students who are currently enrolled in vocational schools technical colleges community colleges or universities should apply if they meet the needed criteria., March 1., AWS Foundation Inc. 8669 NW 36 St. Ste. 130 Miami FL 33166-6672; Phone: 800-443-9353., http://www.aws.org/home, Applicant must be an recipients are selected based on academic standing; the recipient will be chosen by the AWS foundation education scholarship committee.
17,17, AMS Senior Named Scholarships,http://www.ametsoc.org/index.cfm/ams, American Meteorological Society 45 Beacon St. Boston MA 02108-3693,, (617)227-2425, amsinfo@ametsoc.org, Bachelor's Degree, Scholarship, To support students majoring in the atmospheric or related oceanic or hydrologic sciences., Meteorology., Applicants must be a full-time student entering the final year of undergraduate study; majoring in the atmospheric or related oceanic or hydrologic science and/or must show clear intent to make the atmospheric or related sciences a career; enrolled full time in an accredited U.S. institution; and must have a cumulative GPA of at least a 3.25 on a scale of 4.0; must be U.S. citizens or hold permanent resident status., $2000 $10000, Annual.,, Applicants must submit a completed application form along with letters of reference and official transcripts., March 26., Donna Fernandez; Phone 617-226-3907; Email: dfernandez@ametsoc.org., http://www.ametsoc.org/index.cfm/ams, Selection is based on the submitted application materials.
18,18, Annual iSeeCars Future Entrepreneurs Scholarship,http://www.iseecars.com/scholarship, iSeeCars.com 100 TradeCenter Woburn MA 01801 USA,,, team@iseecars.com, Bachelor's Degree Graduate Degree, Scholarship, To help inspire and support the next generation of entrepreneurs., Any, Entering freshman undergraduate and graduate students currently enrolled full time in an accredited 4-year U.S. college., $1000, 1, 1, Follow the below link to apply., March 31, Scholarship Coordinator team@iseecars.com, http://www.iseecars.com/scholarship, Entries will be evaluated by a scholarship committee based on the quality and completeness of application materials submitted by students (essay application and transcript).
19,19, Antranik and Alice Gurdjian Scholarship Grant,http://www.asainc.org/index.php, Armenian Students' Association of America 333 Atlantic Ave. Warwick RI 02888,, (401)461-6114, asa@asainc.org, Bachelor's Degree, Scholarship, To help students of Armenian descent pay for college., General studies/Field of study not specified., Applicants must be of Armenian descent; must be students enrolled full-time and have completed one full year of academics at a four-year accredited U.S. college or university or must be enrolled in a two-year college or university and transferring to a four-year college or university as a full-time student; must be U.S. citizens or possess the appropriate visa status in order to study in the U.S.,, Annual.,, Forms and details available online. Application and all supporting documentation must be mailed., March 15., URL: www.asainc.org/national/scholarships.shtml; Email: headasa@asainc.org; Address: ASA Scholarship Committee 333 Atlantic Ave. Warwick RI 02888., http://www.asainc.org/index.php,
20,20, ARA Region Two/Ron Marshall Scholarship,http://www.ararental.org/ara-foundation, American Rental Association Foundation 1900 19th St. Moline IL 61265, 800-334-2177,,, Bachelor's Degree, Scholarship, To financially support students within the region who is attending trade technical or vocational school that that supports a career in the equipment and event rental industry., Education Industrial., Applicants must be pursuing a trade technical or vocational education program that supports a career in the equipment rental industry at an accredited trade or technical school community college college or university; applicant's business must qualify for ARA membership., $750, Annual., 2., Applications can be submitted online; must provide school-documented transcripts and letters of reference and essays., March 7., 1900 19th St. Moline IL 61265; Fax: 309-764-1533., http://www.ararental.org/ara-foundation, Applicants will be selected based on the scholarship application criteria.
21,21, Ara S. Boyan Scholarship Grant,http://www.asainc.org/index.php, Armenian Students' Association of America 333 Atlantic Ave. Warwick RI 02888,, (401)461-6114, asa@asainc.org, Bachelor's Degree, Scholarship, To help students of Armenian descent pursuing a degrees in humanities., Humanities., Applicants must be of Armenian descent; must be students enrolled full-time and have completed one full year of academics at a four-year accredited U.S. college or university or must be enrolled in a two-year college or university and transferring to a four-year college or university as a full-time student; must be U.S. citizens or possess the appropriate visa status in order to study in the U.S.; must be studying in a humanities-related field.,, Annual.,, Forms and details available online. Application essay transcripts three letters of reference and profile form must be mailed., March 15., URL: www.asainc.org/national/scholarships.shtml; Email: headasa@asainc.org; Address: ASA Scholarship Committee 333 Atlantic Ave. Warwick RI 02888., http://www.asainc.org/index.php,
22,22, Aram and Adrine Kamparosyan Memorial Grant,http://www.asainc.org/index.php, Armenian Students' Association of America 333 Atlantic Ave. Warwick RI 02888,, (401)461-6114, asa@asainc.org, Bachelor's Degree, Scholarship, To help students of Armenian descent attend college., General studies/Field of study not specified., Applicants must be of Armenian descent; must be students enrolled full-time and have completed one full year of academics at a four-year accredited U.S. college or university or must be enrolled in a two-year college or university and transferring to a four-year college or university as a full-time student; must be U.S. citizens or possess the appropriate visa status in order to study in the U.S.,, Annual.,, Forms and details available online at www.asainc.org/national/scholarships.shtml; application essay transcripts three letters of reference and profile form must be mailed., March 15.,, http://www.asainc.org/index.php,
23,23, Aram Zakian Memorial Fund Scholarship,http://www.asainc.org/index.php, Armenian Students' Association of America 333 Atlantic Ave. Warwick RI 02888,, (401)461-6114, asa@asainc.org, Bachelor's Degree, Scholarship, To help students of Armenian descent pay for college., General studies/Field of study not specified., Applicants must be of Armenian descent; must be students enrolled full-time and have completed one full year of academics at a four-year accredited U.S. college or university or must be enrolled in a two-year college or university and transferring to a four-year college or university as a full-time student; must be U.S. citizens or possess the appropriate visa status in order to study in the U.S.,, Annual.,, Forms and details available online at www.asainc.org/national/scholarships.shtml; application essay transcripts three letters of reference and profile form must be mailed., March 15.,, http://www.asainc.org/index.php,
24,24, Ararat Association Scholarship Grant,http://www.asainc.org/index.php, Armenian Students' Association of America 333 Atlantic Ave. Warwick RI 02888,, (401)461-6114, asa@asainc.org, Bachelor's Degree, Scholarship, To help students of Armenian descent pay for college., General studies/Field of study not specified., Applicants must be of Armenian descent; must be students enrolled full-time and have completed one full year of academics at a four-year accredited U.S. college or university or must be enrolled in a two-year college or university and transferring to a four-year college or university as a full-time student; must be U.S. citizens or possess the appropriate visa status in order to study in the U.S.,, Annual.,, Forms and details available online at www.asainc.org/national/scholarships.shtml; application essay transcripts three letters of reference and profile form must be mailed., March 15.,, http://www.asainc.org/index.php,
25,25, Araxie Zakian Memorial Grant,http://www.asainc.org/index.php, Armenian Students' Association of America 333 Atlantic Ave. Warwick RI 02888,, (401)461-6114, asa@asainc.org, Bachelor's Degree, Scholarship, To help students of Armenian descent pay for college., General studies/Field of study not specified., Applicants must be of Armenian descent; must be students enrolled full-time and have completed one full year of academics at a four-year accredited U.S. college or university or must be enrolled in a two-year college or university and transferring to a four-year college or university as a full-time student; must be U.S. citizens or possess the appropriate visa status in order to study in the U.S.,, Annual.,, Forms and details available online at www.asainc.org/national/scholarships.shtml; application essay transcripts three letters of reference and profile form must be mailed., March 15.,, http://www.asainc.org/index.php,
26,26, Araxy Kechejian Memorial Grant,http://www.asainc.org/index.php, Armenian Students' Association of America 333 Atlantic Ave. Warwick RI 02888,, (401)461-6114, asa@asainc.org, Bachelor's Degree, Scholarship, To help students of Armenian descent pursue degrees in the field of medicine., Medicine., Applicants must be of Armenian descent; must be students enrolled full-time and have completed one full year of academics at a four-year accredited U.S. college or university or must be enrolled in a two-year college or university and transferring to a four-year college or university as a full-time student; must be U.S. citizens or possess the appropriate visa status in order to study in the U.S.; must be studying in the field of medicine.,, Annual.,, Forms and details available online at www.asainc.org/national/scholarships.shtml; application essay transcripts three letters of reference and profile form must be mailed., March 15.,, http://www.asainc.org/index.php,
27,27, Archak and Meroum Senekjian Memorial Grant,http://www.asainc.org/index.php, Armenian Students' Association of America 333 Atlantic Ave. Warwick RI 02888,, (401)461-6114, asa@asainc.org, Bachelor's Degree, Scholarship, To help students of Armenian descent pay for college., General studies/Field of study not specified., Applicants must be of Armenian descent; must be students enrolled full-time and have completed one full year of academics at a four-year accredited U.S. college or university or must be enrolled in a two-year college or university and transferring to a four-year college or university as a full-time student; must be U.S. citizens or possess the appropriate visa status in order to study in the U.S.,, Annual.,, Forms and details available online at www.asainc.org/national/scholarships.shtml; application essay transcripts three letters of reference and profile form must be mailed., March 15.,, http://www.asainc.org/index.php,
28,28, Ardemis,http://www.asainc.org/index.php, Armenian Students' Association of America 333 Atlantic Ave. Warwick RI 02888,, (401)461-6114, asa@asainc.org, Bachelor's Degree, Scholarship, To help students of Armenian descent pay for college., General studies/Field of study not specified., Applicants must be of Armenian descent; must be students enrolled full-time and have completed one full year of academics at a four-year accredited U.S. college or university or must be enrolled in a two-year college or university and transferring to a four-year college or university as a full-time student; must be U.S. citizens or possess the appropriate visa status in order to study in the U.S.,, Annual.,, Forms and details available online at www.asainc.org/national/scholarships.shtml; application essay transcripts three letters of reference and profile form must be mailed., March 15.,, http://www.asainc.org/index.php,
29,29, Armenag and Armenhooi Kalustian Memorial Grant,http://www.asainc.org/index.php, Armenian Students' Association of America 333 Atlantic Ave. Warwick RI 02888,, (401)461-6114, asa@asainc.org, Bachelor's Degree, Scholarship, To help students of Armenian descent attend college., Education; General studies/Field of study not specified., Applicants must be of Armenian descent; must be students enrolled full-time and have completed one full year of academics at a four-year accredited U.S. college or university or must be enrolled in a two-year college or university and transferring to a four-year college or university as a full-time student; must be U.S. citizens or possess the appropriate visa status in order to study in the U.S.,, Annual.,, Forms and details available online at www.asainc.org/national/scholarships.shtml; application essay transcripts three letters of reference and profile form must be mailed., March 15.,, http://www.asainc.org/index.php, Preference will be given to students studying education.
30,30, Armenian American Veterans' Association of Worcester Scholarship,http://www.asainc.org/index.php, Armenian Students' Association of America 333 Atlantic Ave. Warwick RI 02888,, (401)461-6114, asa@asainc.org, Bachelor's Degree, Scholarship, To help students of Armenian descent pay for college., General studies/Field of study not specified., Applicants must be of Armenian descent; must be students enrolled full-time and have completed one full year of academics at a four-year accredited U.S. college or university or must be enrolled in a two-year college or university and transferring to a four-year college or university as a full-time student; must be a U.S. citizen or must appropriate Visa status in order to study in the U.S.,, Annual.,, Forms and details available online at www.asainc.org/national/scholarships.shtml; application essay transcripts three letters of reference and profile form must be mailed., March 15.,, http://www.asainc.org/index.php,
31,31, Arsham Amirikian Engineering Scholarship,http://www.aws.org/home, American Welding Society 8669 NW 36 St. No. 130 Miami FL 33166-6672, 800-443-9353, (305)443-9353, accreditation@aws.org certification@aws.org corporate@aws.org customercare@aws.org foundation@aws.org mediasales@aws.org membership@aws.org sense@aws.org standards@aws.org, Bachelor's Degree, Scholarship, To provide financial assistance to an engineering student pursuing a career in the art of welding in civil and structural engineering., Engineering Civil; Welding., Applicants must be an undergraduate student pursuing a minimum four-year bachelors degree in civil engineering or welding related degree at an accredited university; applicants must meet the following eligibility requirements: must be a minimum of eighteen years of age; must have a minimum high school diploma or equivalent; must have a minimum 3.0 grade point average; proof of financial need is required to qualify; must be a citizen of the United States and plan to attend an accredited engineering school located within the United States., $2500, Annual; maximum time for financial aid is four years., 1., Applicants must submit an application; a high school diploma; and a financial statement., March 1., Email: foundation@aws.org., http://www.aws.org/home, Recipients are selected based on financial need.
32,32, Arthur A. Thovmasian,http://www.asainc.org/index.php, Armenian Students' Association of America 333 Atlantic Ave. Warwick RI 02888,, (401)461-6114, asa@asainc.org, Bachelor's Degree, Scholarship, To help students of Armenian descent pay for college., General studies/Field of study not specified., Applicants must be of Armenian descent; must be students enrolled full-time and have completed one full year of academics at a four-year accredited U.S. college or university or must be enrolled in a two-year college or university and transferring to a four-year college or university as a full-time student; must be U.S. citizens or possess the appropriate visa status in order to study in the U.S.,, Annual.,, Forms and details available online at www.asainc.org/national/scholarships.shtml; application essay transcripts three letters of reference and profile form must be mailed., March 15.,, http://www.asainc.org/index.php, Preference given to students who are Rhode Island residents.
33,33, Arthur H. Dadian Scholarship Grant,http://www.asainc.org/index.php, Armenian Students' Association of America 333 Atlantic Ave. Warwick RI 02888,, (401)461-6114, asa@asainc.org, Bachelor's Degree, Scholarship, To help students of Armenian descent pay for college., Armenian studies; General studies/Field of study not specified., Applicants must be of Armenian descent; must be students enrolled full-time and have completed one full year of academics at a four-year accredited U.S. college or university or must be enrolled in a two-year college or university and transferring to a four-year college or university as a full-time student; must be U.S. citizens or possess the appropriate visa status in order to study in the U.S.,, Annual.,, Forms and details available online. Application and all supporting documentation must be mailed., March 15., URL: www.asainc.org/national/scholarships.shtml; Email: headasa@asainc.org; Address: ASA Scholarship Committee 333 Atlantic Ave. Warwick RI 02888., http://www.asainc.org/index.php, Preference given to those pursuing Armenian studies.
